Column 1,Column 2,Column 3,Column 4
318,"Kyshawn George, F",Washington Wizards,"$2,825,520"
319,"AJ Johnson, G",Washington Wizards,"$2,795,294"
320,"Marcus Sasser, G",Detroit Pistons,"$2,755,080"
321,"MarJon Beauchamp, F",LA Clippers,"$2,733,720"
322,"Trendon Watford, PF",Brooklyn Nets,"$2,726,603"
323,"Ben Sheppard, G",Indiana Pacers,"$2,663,880"
324,"Omer Yurtseven, C",Utah Jazz,"$2,660,000"
325,"Keita Bates-Diop, SF",Minnesota Timberwolves,"$2,654,644"
326,"Blake Wesley, G",San Antonio Spurs,"$2,624,280"
327,"Dillon Jones, F",Oklahoma City Thunder,"$2,622,360"
328,"Nick Smith Jr., G",Charlotte Hornets,"$2,587,200"
329,"Brice Sensabaugh, F",Utah Jazz,"$2,571,480"
330,"Ty Jerome, SG",Cleveland Cavaliers,"$2,560,975"
RK,NAME,TEAM,SALARY
331,"Julian Strawther, G",Denver Nuggets,"$2,552,520"
332,"Terrence Shannon Jr., G",Minnesota Timberwolves,"$2,546,640"
333,"Ryan Dunn, F",Phoenix Suns,"$2,538,240"
334,"Wendell Moore Jr., G",Charlotte Hornets,"$2,537,040"
335,"Kobe Brown, G",LA Clippers,"$2,533,920"
336,"Isaiah Collier, G",Utah Jazz,"$2,520,120"
337,"Baylor Scheierman, F",Boston Celtics,"$2,494,320"
338,"Nikola Jovic, F",Miami Heat,"$2,464,200"
339,"Darius Bazley, F",Utah Jazz,"$2,463,946"
340,"Jaxson Hayes, C",Los Angeles Lakers,"$2,463,946"
RK,NAME,TEAM,SALARY
341,"Cam Reddish, SF",Los Angeles Lakers,"$2,463,946"
342,"Patrick Baldwin Jr., F",Washington Wizards,"$2,448,840"
343,"DaQuan Jeffries, SG",Charlotte Hornets,"$2,425,204"
344,"Tristan Vukcevic, PF",Washington Wizards,"$2,424,892"
345,"Peyton Watson, F",Denver Nuggets,"$2,413,560"
346,"Aleksej Pokusevski, F",Charlotte Hornets,"$2,273,252"
347,"Mamadi Diakite, F",Phoenix Suns,"$2,273,252"
348,"Charlie Brown Jr., G",Charlotte Hornets,"$2,237,692"
349,"James Wiseman, C",Indiana Pacers,"$2,237,691"
350,"Anthony Gill, PF",Washington Wizards,"$2,237,691"
RK,NAME,TEAM,SALARY
351,"Kevin Porter Jr., G",Milwaukee Bucks,"$2,237,691"
352,"Xavier Tillman, F",Boston Celtics,"$2,237,691"
353,"Garrison Mathews, SG",Atlanta Hawks,"$2,230,253"
354,"Eugene Omoruyi, F",Toronto Raptors,"$2,196,970"
355,"Dalano Banton, G",Portland Trail Blazers,"$2,196,970"
356,"Jared Butler, SG",Philadelphia 76ers,"$2,196,970"
357,"Jeff Dowtin Jr., G",Philadelphia 76ers,"$2,196,970"
358,"Lindy Waters III, F",Detroit Pistons,"$2,196,970"
359,"Kai Jones, PF",Dallas Mavericks,"$2,196,970"
360,"Jeremiah Robinson-Earl, F",New Orleans Pelicans,"$2,196,970"
361,"Sam Merrill, SG",Cleveland Cavaliers,"$2,164,993"
362,"Duane Washington Jr., PG",Charlotte Hornets,"$2,162,607"
363,"Keon Johnson, G",Brooklyn Nets,"$2,162,606"
364,"Luka Garza, C",Minnesota Timberwolves,"$2,162,606"
365,"Neemias Queta, C",Boston Celtics,"$2,162,606"
366,"Vit Krejci, G",Atlanta Hawks,"$2,162,606"
367,"Vince Williams Jr., G",Memphis Grizzlies,"$2,120,693"
368,"A.J. Lawson, G",Toronto Raptors,"$2,120,693"
369,"Colby Jones, G",Sacramento Kings,"$2,120,693"
370,"Keon Ellis, G",Sacramento Kings,"$2,120,693"
RK,NAME,TEAM,SALARY
371,"Kendall Brown, F",Brooklyn Nets,"$2,120,693"
372,"AJ Green, G",Milwaukee Bucks,"$2,120,693"
373,"Stanley Umude, G",Milwaukee Bucks,"$2,120,693"
374,"E.J. Liddell, F",Chicago Bulls,"$2,120,693"
375,"Jericho Sims, C",Milwaukee Bucks,"$2,092,344"
376,"Sam Hauser, SF",Boston Celtics,"$2,092,344"
377,"Jay Huff, C",Memphis Grizzlies,"$2,088,033"
378,"Seth Curry, SG",Charlotte Hornets,"$2,087,519"
379,"Taj Gibson, F",Charlotte Hornets,"$2,087,519"
380,"Scotty Pippen Jr., G",Memphis Grizzlies,"$2,087,519"
RK,NAME,TEAM,SALARY
381,"Orlando Robinson, C",Toronto Raptors,"$2,087,519"
382,"Bruno Fernando, F",Toronto Raptors,"$2,087,519"
383,"Garrett Temple, SF",Toronto Raptors,"$2,087,519"
384,"Reggie Jackson, PG",Philadelphia 76ers,"$2,087,519"
385,"Mo Bamba, C",LA Clippers,"$2,087,519"
386,"Daniel Theis, C",New Orleans Pelicans,"$2,087,519"
387,"Charles Bassey, C",San Antonio Spurs,"$2,087,519"
388,"Sandro Mamukelashvili, PF",San Antonio Spurs,"$2,087,519"
389,"Jordan McLaughlin, PG",San Antonio Spurs,"$2,087,519"
390,"Doug McDermott, SF",Sacramento Kings,"$2,087,519"
RK,NAME,TEAM,SALARY
391,"Bol Bol, C",Phoenix Suns,"$2,087,519"
392,"Tyus Jones, PG",Phoenix Suns,"$2,087,519"
393,"Monte Morris, PG",Phoenix Suns,"$2,087,519"
394,"Damion Lee, SG",Phoenix Suns,"$2,087,519"
395,"Mason Plumlee, C",Phoenix Suns,"$2,087,519"
396,"Lonnie Walker IV, G",Philadelphia 76ers,"$2,087,519"
397,"Guerschon Yabusele, F",Philadelphia 76ers,"$2,087,519"
398,"Kyle Lowry, PG",Philadelphia 76ers,"$2,087,519"
399,"Tyler Kolek, G",New York Knicks,"$2,087,519"
400,"Delon Wright, SG",New York Knicks,"$2,087,519"
401,"Cameron Payne, PG",New York Knicks,"$2,087,519"
402,"PJ Dozier, G",Minnesota Timberwolves,"$2,087,519"
403,"Joe Ingles, SG",Minnesota Timberwolves,"$2,087,519"
404,"Gary Trent Jr., SG",Milwaukee Bucks,"$2,087,519"
405,"Taurean Prince, PF",Milwaukee Bucks,"$2,087,519"
406,"Alec Burks, SG",Miami Heat,"$2,087,519"
407,"Alex Len, C",Los Angeles Lakers,"$2,087,519"
